"Date","FX_Rate"
2010-11-01,1.39750683307648
2010-12-01,1.29920744895935
2011-01-01,1.33012330532074
2011-02-01,1.37138473987579
2011-03-01,1.38215088844299
2011-04-01,1.41586911678314
2011-05-01,1.47939944267273
2011-06-01,1.4344938993454
2011-07-01,1.44969546794891
2011-08-01,1.42620801925659
2011-09-01,1.42620801925659
2011-10-01,1.35858488082886
2011-11-01,1.38600146770477
2011-12-01,1.34439313411713
2012-01-01,1.29560530185699
2012-02-01,1.30770242214203
2012-03-01,1.33209002017975
2012-04-01,1.3358268737793
2012-05-01,1.32397723197937
2012-06-01,1.23624670505524
2012-07-01,1.26551842689514
2012-08-01,1.22414004802704
2012-09-01,1.25109469890594
2012-10-01,1.28882586956024
2012-11-01,1.29651236534119
2012-12-01,1.29735338687897
2013-01-01,1.32013201713562
2013-02-01,1.36109972000122
2013-03-01,1.30599451065063
2013-04-01,1.28501677513123
2013-05-01,1.31821775436401
2013-06-01,1.3043931722641
2013-07-01,1.30676245689392
2013-08-01,1.32119596004486
2013-09-01,1.32082951068878
2013-10-01,1.35233819484711
2013-11-01,1.35797607898712
2013-12-01,1.36039614677429
2014-01-01,1.37449479103088
2014-02-01,1.35587704181671
2014-03-01,1.37074553966522
2014-04-01,1.37948155403137
2014-05-01,1.38709723949432
2014-06-01,1.36280620098114
2014-07-01,1.36808264255524
2014-08-01,1.33899283409119
2014-09-01,1.31319761276245
2014-10-01,1.26241910457611
2014-11-01,1.26133620738983
2014-12-01,1.24382758140564
2015-01-01,1.2098628282547
2015-02-01,1.13355553150177
2015-03-01,1.12053608894348
2015-04-01,1.07699429988861
2015-05-01,1.12146592140198
2015-06-01,1.09229934215546
2015-07-01,1.10336303710938
2015-08-01,1.09392440319061
2015-09-01,1.12934374809265
2015-10-01,1.11934447288513
2015-11-01,1.09938430786133
2015-12-01,1.05729472637177
2016-01-01,1.08590602874756
2016-02-01,1.08259081840515
2016-03-01,1.08889758586884
2016-04-01,1.13796710968018
2016-05-01,1.14630258083344
2016-06-01,1.11890614032745
2016-07-01,1.11060512065887
2016-08-01,1.11680686473846
2016-09-01,1.12007176876068
2016-10-01,1.12195670604706
2016-11-01,1.0973334312439
2016-12-01,1.0592098236084
2017-01-01,1.05752968788147
2017-02-01,1.08038032054901
2017-03-01,1.05691480636597
2017-04-01,1.06870722770691
2017-05-01,1.0908932685852
2017-06-01,1.12157917022705
2017-07-01,1.14416480064392
2017-08-01,1.18112564086914
2017-09-01,1.19104325771332
2017-10-01,1.18073511123657
2017-11-01,1.16517519950867
2017-12-01,1.18982458114624
2018-01-01,1.20049464702606
2018-02-01,1.24186587333679
2018-03-01,1.21912562847137
2018-04-01,1.23142087459564
2018-05-01,1.19915580749512
2018-06-01,1.16931712627411
2018-07-01,1.1678558588028
2018-08-01,1.16658890247345
2018-09-01,1.16646635532379
2018-10-01,1.15775573253632
2018-11-01,1.13166975975037
2018-12-01,1.13927662372589
2019-01-01,1.14930641651154
2019-02-01,1.14495074748993
2019-03-01,1.13734591007233
2019-04-01,1.12057375907898
2019-05-01,1.12008416652679
2019-06-01,1.1131147146225
2019-07-01,1.12874460220337
2019-08-01,1.10788595676422
2019-09-01,1.09917891025543
2019-10-01,1.09349370002747
2019-11-01,1.11571025848389
2019-12-01,1.10117614269257
2020-01-01,1.12208259105682
2020-02-01,1.10291278362274
2020-03-01,1.09972286224365
2020-04-01,1.09536218643188
2020-05-01,1.09454691410065
2020-06-01,1.11259460449219
2020-07-01,1.12513780593872
2020-08-01,1.18722546100616
2020-09-01,1.19232141971588
2020-10-01,1.17449462413788
2020-11-01,1.16786956787109
2020-12-01,1.19381606578827
2021-01-01,1.21802687644958
2021-02-01,1.21238577365875
2021-03-01,1.20895600318909
2021-04-01,1.17799496650696
2021-05-01,1.2127091884613
2021-06-01,1.22177696228027
2021-07-01,1.18462359905243
2021-08-01,1.18670415878296
2021-09-01,1.18409061431885
2021-10-01,1.15744757652283
2021-11-01,1.15566849708557
2021-12-01,1.13302898406982
2022-01-01,1.13250279426575
2022-02-01,1.12296462059021
2022-03-01,1.12159180641174
2022-04-01,1.10723578929901
2022-05-01,1.05359649658203
2022-06-01,1.06541657447815
2022-07-01,1.04776775836945
2022-08-01,1.02613568305969
2022-09-01,0.995232880115509
2022-10-01,0.982955574989319
2022-11-01,0.988630771636963
2022-12-01,1.04253542423248
2023-01-01,1.06607532501221
2023-02-01,1.08609473705292
2023-03-01,1.05773091316223
2023-04-01,1.09046494960785
2023-05-01,1.09692418575287
2023-06-01,1.07607877254486
2023-07-01,1.08680295944214
2023-08-01,1.10078811645508
2023-09-01,1.08441042900085
2023-10-01,1.05652403831482
2023-11-01,1.05790996551514
2023-12-01,1.0892059803009
2024-01-01,1.10558319091797
2024-02-01,1.08039200305939
2024-03-01,1.08049702644348
2024-04-01,1.07372176647186
2024-05-01,1.0721560716629
2024-06-01,1.08354103565216
2024-07-01,1.07371020317078
2024-08-01,1.07876026630402
2024-09-01,1.1044842004776
2024-10-01,1.10639047622681
2024-11-01,1.08861303329468
2024-12-01,1.05630087852478
2025-01-01,1.0406152009964
2025-02-01,1.03972792625427
2025-03-01,1.03951179981232
2025-04-01,1.07959878444672
2025-05-01,1.12964987754822
2025-06-01,1.13783764839172
